Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,07-May-2020,28-May-2020,19470.00,19743.35,19300.00,19505.30,19544.95,19505.30,288319.00,1124664.19,1308760.00,-167480.00,19491.80
BANKNIFTY,08-May-2020,28-May-2020,19825.00,19950.00,19210.00,19284.65,19280.00,19284.65,290550.00,1140934.95,1397020.00,88260.00,19352.90
BANKNIFTY,11-May-2020,28-May-2020,19489.85,19700.00,18855.00,18914.40,18910.00,18914.40,321874.00,1241524.74,1407780.00,10760.00,18950.50
BANKNIFTY,12-May-2020,28-May-2020,18696.00,18991.00,18209.00,18839.10,18863.05,18839.10,430698.00,1595561.64,1457560.00,49780.00,18862.85
BANKNIFTY,13-May-2020,28-May-2020,19950.00,20199.00,19423.00,19617.00,19618.55,19617.00,410714.00,1617940.78,1213800.00,-243760.00,19634.95
BANKNIFTY,14-May-2020,28-May-2020,19225.65,19340.50,18957.25,19038.75,19054.00,19038.75,309645.00,1186374.85,1179620.00,-34180.00,19068.50
BANKNIFTY,15-May-2020,28-May-2020,19079.60,19079.65,18651.00,18807.70,18770.00,18807.70,294438.00,1106045.16,1301840.00,122220.00,18833.95
BANKNIFTY,18-May-2020,28-May-2020,18705.10,18711.10,17458.30,17531.60,17589.65,17531.60,430078.00,1530344.23,1400160.00,98320.00,17573.20
BANKNIFTY,19-May-2020,28-May-2020,17735.00,18165.00,17318.00,17438.75,17440.05,17438.75,462186.00,1638110.16,1374860.00,-25300.00,17486.25
BANKNIFTY,20-May-2020,28-May-2020,17390.00,18026.95,17351.70,17836.65,17940.00,17836.65,402003.00,1421163.09,1269360.00,-105500.00,17840.20
BANKNIFTY,21-May-2020,28-May-2020,17923.30,18175.00,17565.60,17644.85,17630.00,17644.85,342672.00,1228384.80,1378440.00,109080.00,17735.10
BANKNIFTY,22-May-2020,28-May-2020,17499.50,17899.95,17005.95,17216.10,17286.10,17216.10,504772.00,1747510.75,1762440.00,384000.00,17278.90
BANKNIFTY,26-May-2020,28-May-2020,17525.00,17690.00,17261.60,17445.15,17510.10,17445.15,342839.00,1199348.03,1441100.00,-321340.00,17440.35
BANKNIFTY,27-May-2020,28-May-2020,17556.75,18863.30,17484.60,18663.05,18663.05,18663.05,527222.00,1907979.79,871800.00,-569300.00,18710.55
BANKNIFTY,28-May-2020,28-May-2020,18816.55,19436.00,18748.55,19162.05,19170.20,19169.80,392320.00,1503192.27,333440.00,-538360.00,19169.80
